Genotype	Replicate	ID	Chamber	Species	Census	Growth.days	Juvenile	Apterous	Alate	Sum
13	3	13_03	2	M.per	3	10	91	18	0	109
13	3	13_03	2	M.per	4	13	204	30	0	234
13	3	13_03	2	M.per	5	17	390	16	0	406
13	4	13_04	1	M.per	1	4	13	5	0	18
13	4	13_04	1	M.per	2	7	37	5	0	42
13	4	13_04	1	M.per	3	10	76	9	0	85
13	4	13_04	1	M.per	4	14	123	19	0	142
13	4	13_04	1	M.per	5	18	87	8	0	95
13	5	13_05	1	M.asc	1	3	2	0	5	7
13	5	13_05	1	M.asc	2	6	34	0	5	39
13	5	13_05	1	M.asc	3	9	19	0	6	25
13	5	13_05	1	M.asc	4	12	16	0	5	21
13	5	13_05	1	M.asc	5	16	4	0	5	9
13	6	13_06	1	A.asc	1	4	16	5	0	21
13	6	13_06	1	A.asc	2	7	24	4	0	28
13	6	13_06	1	A.asc	3	10	37	3	1	41
13	6	13_06	1	A.asc	4	13	41	9	0	50
13	6	13_06	1	A.asc	5	17	83	18	0	101
13	7	13_07	2	A.asc	1	4	3	4	1	8
13	7	13_07	2	A.asc	2	7	28	4	1	33
13	7	13_07	2	A.asc	3	10	40	11	1	52
13	7	13_07	2	A.asc	4	13	98	23	2	123
13	7	13_07	2	A.asc	5	17	255	54	3	312
13	8	13_08	1	A.ner	1	3	12	4	1	17
13	8	13_08	1	A.ner	2	6	25	8	1	34
13	8	13_08	1	A.ner	3	9	74	19	1	94
13	8	13_08	1	A.ner	4	13	248	18	0	266
13	8	13_08	1	A.ner	5	17	384	29	20	433
13	9	13_09	1	A.asc	1	4	11	5	0	16
13	9	13_09	1	A.asc	2	7	21	5	0	26
13	9	13_09	1	A.asc	3	10	53	14	0	67
13	9	13_09	1	A.asc	4	14	193	24	1	218
13	9	13_09	1	A.asc	5	18	276	28	9	313
13	10	13_10	2	M.asc	1	4	2	0	4	6
13	10	13_10	2	M.asc	2	7	18	0	3	21
13	10	13_10	2	M.asc	3	10	2	0	3	5
13	10	13_10	2	M.asc	4	13	2	0	4	6
13	10	13_10	2	M.asc	5	17	0	0	2	2
13	11	13_11	2	M.asc	1	4	42	0	2	24
13	11	13_11	2	M.asc	2	7	49	0	3	32
13	11	13_11	2	M.asc	3	10	32	0	6	38
13	11	13_11	2	M.asc	4	13	27	0	20	47
13	11	13_11	2	M.asc	5	17	25	0	32	57
13	12	13_12	1	M.asc	1	3	15	0	4	19
13	12	13_12	1	M.asc	2	6	46	0	2	48
13	12	13_12	1	M.asc	3	9	65	0	4	69
13	12	13_12	1	M.asc	4	13	71	0	21	92
13	12	13_12	1	M.asc	5	17	133	0	33	166
13	13	13_13	2	A.ner	1	3	2	5	0	7
13	13	13_13	2	A.ner	2	6	29	4	1	34
13	13	13_13	2	A.ner	3	9	54	19	1	74
13	13	13_13	2	A.ner	4	12	290	37	1	328
13	13	13_13	2	A.ner	5	16	722	61	12	795
13	14	13_14	1	M.per	1	4	17	5	0	22
13	14	13_14	1	M.per	2	7	49	8	0	57
13	14	13_14	1	M.per	3	10	86	17	0	103
13	14	13_14	1	M.per	4	14	170	21	0	191
13	14	13_14	1	M.per	5	18	292	48	0	340
13	15	13_15	2	A.ner	1	3	11	2	0	13
13	15	13_15	2	A.ner	2	6	51	11	0	62
13	15	13_15	2	A.ner	3	9	151	23	1	175
13	15	13_15	2	A.ner	4	12	594	29	13	636
13	15	13_15	2	A.ner	5	13	455	53	32	540
13	16	13_16	1	A.asc	1	4	2	5	0	7
13	16	13_16	1	A.asc	2	7	22	5	0	27
13	16	13_16	1	A.asc	3	10	49	9	0	58
13	16	13_16	1	A.asc	4	14	185	26	2	213
13	16	13_16	1	A.asc	5	18	205	27	12	244
15	1	15_01	2	M.per	1	4	11	5	0	16
15	1	15_01	2	M.per	2	7	62	15	0	77
15	1	15_01	2	M.per	3	10	143	15	0	158
15	1	15_01	2	M.per	4	13	303	46	0	349
15	1	15_01	2	M.per	5	17	361	26	0	387
15	2	15_02	2	A.asc	1	5	5	5	0	10
15	2	15_02	2	A.asc	2	7	12	4	0	16
15	2	15_02	2	A.asc	3	10	29	4	0	33
15	2	15_02	2	A.asc	4	13	31	9	0	40
15	2	15_02	2	A.asc	5	17	36	9	0	45
15	3	15_03	2	M.asc	1	4	12	0	5	17
15	3	15_03	2	M.asc	2	7	27	0	5	32
15	3	15_03	2	M.asc	3	10	81	0	4	85
15	3	15_03	2	M.asc	4	13	51	0	9	60
15	3	15_03	2	M.asc	5	17	92	0	32	124
15	4	15_04	2	A.ner	1	3	13	5	0	18
15	4	15_04	2	A.ner	2	6	53	14	0	67
15	4	15_04	2	A.ner	3	9	157	29	3	189
15	4	15_04	2	A.ner	4	12	854	56	10	920
15	4	15_04	2	A.ner	5	16	NA	NA	NA	NA
15	5	15_05	2	M.asc	1	4	11	0	3	14
15	5	15_05	2	M.asc	2	7	6	0	2	8
15	5	15_05	2	M.asc	3	10	17	0	3	20
15	5	15_05	2	M.asc	4	13	30	0	4	34
15	5	15_05	2	M.asc	5	17	62	0	19	81
15	6	15_06	1	M.asc	1	3	29	0	4	33
15	6	15_06	1	M.asc	2	6	55	0	3	58
15	6	15_06	1	M.asc	3	9	83	0	5	88
15	6	15_06	1	M.asc	4	12	63	0	23	86
15	6	15_06	1	M.asc	5	16	28	0	29	57
15	9	15_09	1	A.ner	1	3	16	4	2	22
15	9	15_09	1	A.ner	2	6	35	8	2	45
15	9	15_09	1	A.ner	3	9	145	24	2	171
15	9	15_09	1	A.ner	4	13	565	34	10	609
15	9	15_09	1	A.ner	5	17	601	53	60	714
15	10	15_10	2	A.ner	1	4	9	3	2	14
15	10	15_10	2	A.ner	2	6	25	5	2	32
15	10	15_10	2	A.ner	3	9	73	8	3	84
15	10	15_10	2	A.ner	4	12	215	39	2	256
15	10	15_10	2	A.ner	5	16	847	59	22	928
15	11	15_11	1	A.asc	1	4	6	5	0	11
15	11	15_11	1	A.asc	2	7	35	6	0	41
15	11	15_11	1	A.asc	3	10	49	9	0	58
15	11	15_11	1	A.asc	4	14	155	17	5	177
15	11	15_11	1	A.asc	5	18	259	32	13	304
15	12	15_12	1	M.per	1	4	6	5	0	11
