Genotype	Replicate	Chamber	Honeydew.mass	Species	Aphid.start	Aphid.end	Exposure.time	Cumulative.aphids	day1	day2	day3	day4	day5
17	6	1	4.3996	M.per	176	188	4	734	179	182	185	188	NA
17	7	1	8.9197	A.ner	78	141	4	469.5	93.75	109.5	125.25	141	NA
17	8	2	0.3365	M.asc	8	12	4	42	9	10	11	12	NA
17	9	1	1.9754	M.asc	72	67	4	275.5	70.75	69.5	68.25	67	NA
17	10	2	10.3726	A.asc	85	237	4	720	123	161	199	237	NA
17	11	1	7.474	M.per	78	137	4	459.5	92.75	107.5	122.25	137	NA
17	12	1	69.0975	A.ner	125	387	4	1155	190.5	256	321.5	387	NA
17	13	2	0.9989	M.per	189	413	4	1316	245	301	357	413	NA
17	14	2	60.9552	A.ner	170	387	4	1222.5	224.25	278.5	332.75	387	NA
17	15	2	7.6585	A.asc	71	177	4	549	97.5	124	150.5	177	NA
17	17	2	4.1666	M.asc	52	36	4	168	48	44	40	36	NA
17	18	1	10.9014	A.asc	80	233	5	859	110.6	141.2	171.8	202.4	233
21	1	2	1.2042	M.per	158	252	4	867	181.5	205	228.5	252	NA
21	2	2	50.5205	A.ner	480	816	4	2760	564	648	732	816	NA
21	3	2	17.8203	A.asc	42	140	4	413	66.5	91	115.5	140	NA
21	5	1	2.604	A.asc	69	157	4	496	91	113	135	157	NA
21	6	2	0.909	A.asc	14	62	4	176	26	38	50	62	NA
21	7	2	2.6228	M.per	137	267	4	873	169.5	202	234.5	267	NA
21	8	1	26.9014	A.ner	175	274	4	947.5	199.75	224.5	249.25	274	NA
21	9	2	26.2597	A.ner	326	635	4	2076.5	403.25	480.5	557.75	635	NA
21	10	1	6.274	M.per	70	145	4	467.5	88.75	107.5	126.25	145	NA
21	11	1	7.4194	M.asc	78	88	4	337	80.5	83	85.5	88	NA
21	12	1	36.3572	A.ner	203	480	4	1504.5	272.25	341.5	410.75	480	NA
21	14	2	33.0964	M.asc	77	212	4	645.5	110.75	144.5	178.25	212	NA
21	15	1	2.9829	A.asc	93	170	4	564.5	112.25	131.5	150.75	170	NA
21	16	2	72.8049	M.asc	234	457	5	1839	278.6	323.2	367.8	412.4	457
21	17	1	28.9347	M.asc	125	184	4	647.5	139.75	154.5	169.25	184	NA
